Name,English,Translation,Restrictions,Comment
__Priority,0,0,,Order of language importance. Allows other packs to supplement or replace sections
_Argument0,{0},{0},,single unlocalised argument
_Error,Error: {0},Fehler: {0},,General error prefix
_Language,German,German,,Language name - in English
_LanguageNative,German,Deutsche,,Language name in the native language
_LanguageCode,de,de,,standard windows os language code this pack represents (can be primary code only ie. en or primary-secondary ie. en-GB)
_GameMaker2016,GameMaker Studio 2,GameMaker Studio 2,,IDE title
_MANUAL_LOCATION,"http://zeus.yoyogames.com/GMS2_German-master.zip","http://zeus.yoyogames.com/GMS2_German-master.zip",,Location of language manual
$win_OpenInExplorer,Open In Explorer,In Explorer öffnen,,Windows version of Open In Explorer
$win_OpenProjectInExplorer,Open Project In Explorer,Projekt in Explorer öffnen,,Windows version of Open Project In Explorer
$win_ShowLogFileInExplorer,Open Log In Explorer,Protokoll in Explorer öffnen,,Windows version of Show Log In Explorer
$win_explorer,explorer,explorer,,windows version of explorer
$mac_explorer,finder,finder,,mac version of explorer
$mac_OpenInExplorer,Show In Finder,In Finder anzeigen,,Mac version of Open In Explorer
$mac_OpenProjectInExplorer,Show Project In Finder,Projekt in Finder anzeigen,,Mac version of Open Project In Explorer
$mac_ShowLogFileInExplorer,Reveal Log In Finder,Protokoll in Finder anzeigen,,Mac version of Show Log In Explorer
$win_ctrl,Ctrl,Strg,,Windows version of ctrl key
$mac_ctrl,Command,Command,,Mac version of ctrl key
$win_FileMenuExit,Exit,Beenden,,Windows version of the Exit main menu entry
$mac_FileMenuExit,Quit,Verlassen,,Mac version of the Exit main menu entry
$win_IDEMenuHelpAbout,About,Über,,Windows version of the About main menu entry
$mac_IDEMenuHelpAbout,About GameMaker Studio 2,Über GameMaker Studio 2,,Windows version of the About main menu entry
$win_IDEMenuViews,Windows,Fenster,,Windows version of the views menu entry
$mac_IDEMenuViews,Window,Fenster,,Mac version of the views menu entry
Account_Menu_Login,Login,Anmelden,,"Account menu ""Login"""
Account_Menu_Logout,Logout,Abmelden,,"Acount menu ""Logout"""
Account_Menu_ManageAccount,Manage Account,Konto verwalten,,"Account menu ""Account"""
AnimationManager_InvalidTransition,The transition specified '{0}' is not valid,Der als angegebene '{0}‘ Übergang ist nicht gültig,,The transition specified in the animation json is not a valid value
BackgroundLayer_HSpeed,Horizontal Speed,Horizontale Geschwindigkeit,,Numeric textbox label for horizontal scroll speed
BackgroundLayer_HTile,Horizontal Tile,Horizontale Kachel,,Checkbox label for horizontal tiling
BackgroundLayer_NoBackground,<no background>,<Kein Hintergrund>,,no background selected caption for the background layer button
BackgroundLayer_PosX,X Offset,X-Verschiebung,,Numeric textbox label for x pos offset
BackgroundLayer_PosY,Y Offset,Y-Verschiebung,,numeric textbox label for y pos offset
BackgroundLayer_Stretch,Stretch,Strecken,,Checkbox label for stretch
BackgroundLayer_VSpeed,Vertical Speed,Vertikale Geschwindigkeit,,Numeric textbox label for vertical scroll speed
BackgroundLayer_VTile,Vertical Tile,Vertikale Kachel,,Checkbox label for vertical tiling
Breakpoints,Breakpoints,Haltepunkt,,Breakpoints
Breakpoint_Delete,Delete Breakpoint,Haltepunkt löschen,,delete breakpoint menu option
Breakpoint_GotoCode,Go To Code,Zum Code gehen,,breakpoint show code menu option
Breakpoint_MenuToggle,Toggle Breakpoint,Haltepunkt ein- oder ausschalten,,toggle breakpoint menu option
